0.588	0.596	
0.478	0.598	
0.592	0.598	
0.476	0.6	
0.598	0.6	
0.472	0.602	
0.602	0.602	
0.468	0.604	
0.608	0.604	
0.464	0.606	
0.614	0.606	
0.46	0.608	
0.618	0.608	
0.456	0.61	
0.624	0.61	
0.454	0.612	
0.628	0.612	
0.45	0.614	
0.634	0.614	
0.446	0.616	
0.638	0.616	
0.442	0.618	
0.644	0.618	
0.438	0.62	
0.648	0.62	
0.434	0.622	
0.654	0.622	
0.43	0.624	
0.658	0.624	
0.428	0.626	
0.664	0.626	
0.424	0.628	
0.668	0.628	
0.42	0.63	
0.674	0.63	
0.416	0.632	
0.678	0.632	
0.412	0.634	
0.684	0.634	
0.408	0.636	
0.688	0.636	
0.404	0.638	
0.694	0.638	
0.4	0.64	
0.698	0.64	
0.396	0.642	
0.704	0.642	
0.392	0.644	
0.708	0.644	
0.388	0.646	
0.714	0.646	
0.384	0.648	
0.72	0.648	
0.38	0.65	
0.724	0.65	
0.374	0.652	
0.73	0.652	
0.37	0.654	
0.736	0.654	
0.366	0.656	
0.74	0.656	
0.362	0.658	
0.746	0.658	
0.356	0.66	
0.752	0.66	
0.352	0.662	
0.758	0.662	
0.348	0.664	
0.762	0.664	
0.342	0.666	
0.768	0.666	
0.336	0.668	
0.774	0.668	
0.332	0.67	
0.78	0.67	
0.326	0.672	
0.786	0.672	
0.002	0.674	
0.32	0.674	
0.792	0.674	
0.01	0.676	
0.314	0.676	
0.8	0.676	
0.016	0.678	
0.308	0.678	
0.806	0.678	
0.024	0.68	
0.302	0.68	
0.812	0.68	
0.032	0.682	
0.296	0.682	
0.818	0.682	
0.04	0.684	
0.288	0.684	
0.826	0.684	
0.048	0.686	
0.282	0.686	
0.832	0.686	
0.056	0.688	
0.274	0.688	
0.84	0.688	
0.064	0.69	
0.266	0.69	
0.846	0.69	
0.074	0.692	
0.256	0.692	
0.854	0.692	
0.084	0.694	
0.248	0.694	
0.862	0.694	
0.094	0.696	
0.236	0.696	
0.87	0.696	
0.106	0.698	
0.224	0.698	
